;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30
badan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2558314121883666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bahan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22216097535255494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24944702532748628;0.0;0.0;0.0;0.0;0.0;0.0
bahas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25608315461854797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bakar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22216097535255494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24944702532748628;0.0;0.0;0.0;0.0;0.0;0.0
bangun;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26788894037367894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23376561027927195;0.0;0.0;0.0;0.0;0.0
batang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26507358952581955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
batas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2503086472134425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32347331070863283;0.0;0.0;0.0;0.0
bbm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24916799140390436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
beber;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28073743715891863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
beli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2797710721421435;0.0;0.0;0.0;0.0;0.0;0.0
