,judul,waktu,category,isi,deskripsi_tokens,deskripsi_tokens_fdist,deskripsi_tokens_WSW,deskripsi_normalized,deskripsi_tokens_stemmed
10,Pengusaha Ritel Curhat: Distributor Minyak Goreng Masih Ada yang Ngumpet,"Selasa, 22 Maret 2022 - 12:59 WIB",Sektor Riil,asosiasi pengusaha ritel indonesia aprindo membeberkan meskipun sudah free market akan tetapi distributor yang memasok minyak goreng ke ritel modern masih terbatas,"['asosiasi', 'pengusaha', 'ritel', 'indonesia', 'aprindo', 'membeberkan', 'meskipun', 'sudah', 'free', 'market', 'akan', 'tetapi', 'distributor', 'yang', 'memasok', 'minyak', 'goreng', 'ke', 'ritel', 'modern', 'masih', 'terbatas']",<FreqDist with 21 samples and 22 outcomes>,"['asosiasi', 'pengusaha', 'ritel', 'indonesia', 'aprindo', 'membeberkan', 'free', 'market', 'distributor', 'memasok', 'minyak', 'goreng', 'ritel', 'modern', 'terbatas']","['asosiasi', 'pengusaha', 'ritel', 'indonesia', 'aprindo', 'membeberkan', 'free', 'market', 'distributor', 'memasok', 'minyak', 'goreng', 'ritel', 'modern', 'terbatas']","['asosiasi', 'usaha', 'ritel', 'indonesia', 'aprindo', 'beber', 'free', 'market', 'distributor', 'pasok', 'minyak', 'goreng', 'ritel', 'modern', 'batas']"
11,"Sesi I IHSG Hari Ini Ditutup Menguat, Asing Belanja Rp608 Miliar","Selasa, 22 Maret 2022 - 12:57 WIB",Kurs & Saham,indeks harga saham gabungan ihsg hari ini menguat poin atau di level pada penutupan sesi pertama perdagangan selasa,"['indeks', 'harga', 'saham', 'gabungan', 'ihsg', 'hari', 'ini', 'menguat', 'poin', 'atau', 'di', 'level', 'pada', 'penutupan', 'sesi', 'pertama', 'perdagangan', 'selasa']",<FreqDist with 18 samples and 18 outcomes>,"['indeks', 'harga', 'saham', 'gabungan', 'ihsg', 'menguat', 'poin', 'level', 'penutupan', 'sesi', 'perdagangan', 'selasa']","['indeks', 'harga', 'saham', 'gabungan', 'ihsg', 'menguat', 'poin', 'level', 'penutupan', 'sesi', 'perdagangan', 'selasa']","['indeks', 'harga', 'saham', 'gabung', 'ihsg', 'kuat', 'poin', 'level', 'tutup', 'sesi', 'dagang', 'selasa']"
12,Tunggu Keputusan Mudik Dilarang atau Tidak? Ini Penjelasan Kemenhub,"Selasa, 22 Maret 2022 - 12:44 WIB",Sektor Riil,kementerian perhubungan menyatakan belum ada keputusan final terkait kebijakan mudik lebaran tahun ini aturan terkait angkutan mudik juga masih dibahas,"['kementerian', 'perhubungan', 'menyatakan', 'belum', 'ada', 'keputusan', 'final', 'terkait', 'kebijakan', 'mudik', 'lebaran', 'tahun', 'ini', 'aturan', 'terkait', 'angkutan', 'mudik', 'juga', 'masih', 'dibahas']",<FreqDist with 18 samples and 20 outcomes>,"['kementerian', 'perhubungan', 'keputusan', 'final', 'terkait', 'kebijakan', 'mudik', 'lebaran', 'aturan', 'terkait', 'angkutan', 'mudik', 'dibahas']","['kementerian', 'perhubungan', 'keputusan', 'final', 'terkait', 'kebijakan', 'mudik', 'lebaran', 'aturan', 'terkait', 'angkutan', 'mudik', 'dibahas']","['menteri', 'hubung', 'putus', 'final', 'kait', 'bijak', 'mudik', 'lebaran', 'atur', 'kait', 'angkut', 'mudik', 'bahas']"
13,"Bangun IKN Nusantara, 6 Peraturan Pelaksana Dikebut Siap Bulan Depan","Selasa, 22 Maret 2022 - 12:31 WIB",Sektor Riil,aturan untuk memulai pembangunan ibu kota negara ikn nusantara terus dikebut dimana ditargetkan ada pp dan perpres untuk segera dirampungkan pada april,"['aturan', 'untuk', 'memulai', 'pembangunan', 'ibu', 'kota', 'negara', 'ikn', 'nusantara', 'terus', 'dikebut', 'dimana', 'ditargetkan', 'ada', 'pp', 'dan', 'perpres', 'untuk', 'segera', 'dirampungkan', 'pada', 'april']",<FreqDist with 21 samples and 22 outcomes>,"['aturan', 'pembangunan', 'kota', 'negara', 'ikn', 'nusantara', 'dikebut', 'dimana', 'ditargetkan', 'pp', 'perpres', 'dirampungkan', 'april']","['aturan', 'pembangunan', 'kota', 'negara', 'ikn', 'nusantara', 'dikebut', 'dimana', 'ditargetkan', 'pp', 'perpres', 'dirampungkan', 'april']","['atur', 'bangun', 'kota', 'negara', 'ikn', 'nusantara', 'kebut', 'mana', 'target', 'pp', 'pres', 'rampung', 'april']"
14,OJK Dorong BUMN Masuk Pasar Modal Sebagai Alternatif Pendanaan,"Selasa, 22 Maret 2022 - 11:57 WIB",Advertorial Ekbis,otoritas jasa keuangan mendorong perusahaan bumn maupun anak perusahaan bumn untuk memanfaatkan pasar modal sebagai sumber alternatif pendanaan perusahaan dalam mengembangkan bisnis dan usahanya,"['otoritas', 'jasa', 'keuangan', 'mendorong', 'perusahaan', 'bumn', 'maupun', 'anak', 'perusahaan', 'bumn', 'untuk', 'memanfaatkan', 'pasar', 'modal', 'sebagai', 'sumber', 'alternatif', 'pendanaan', 'perusahaan', 'dalam', 'mengembangkan', 'bisnis', 'dan', 'usahanya']",<FreqDist with 21 samples and 24 outcomes>,"['otoritas', 'jasa', 'keuangan', 'mendorong', 'perusahaan', 'bumn', 'anak', 'perusahaan', 'bumn', 'memanfaatkan', 'pasar', 'modal', 'sumber', 'alternatif', 'pendanaan', 'perusahaan', 'mengembangkan', 'bisnis', 'usahanya']","['otoritas', 'jasa', 'keuangan', 'mendorong', 'perusahaan', 'bumn', 'anak', 'perusahaan', 'bumn', 'memanfaatkan', 'pasar', 'modal', 'sumber', 'alternatif', 'pendanaan', 'perusahaan', 'mengembangkan', 'bisnis', 'usahanya']","['otoritas', 'jasa', 'uang', 'dorong', 'usaha', 'bumn', 'anak', 'usaha', 'bumn', 'manfaat', 'pasar', 'modal', 'sumber', 'alternatif', 'dana', 'usaha', 'kembang', 'bisnis', 'usaha']"
15,"Pengusaha Ritel Senang HET Minyak Goreng Dicabut, Pasokan Melimpah","Selasa, 22 Maret 2022 - 11:50 WIB",Sektor Riil,pencabutan harga eceran tertinggi het minyak goreng kemasan disambut gembira oleh pengusaha ritel modern pasokan minyak goreng pun melimpah lagi,"['pencabutan', 'harga', 'eceran', 'tertinggi', 'het', 'minyak', 'goreng', 'kemasan', 'disambut', 'gembira', 'oleh', 'pengusaha', 'ritel', 'modern', 'pasokan', 'minyak', 'goreng', 'pun', 'melimpah', 'lagi']",<FreqDist with 18 samples and 20 outcomes>,"['pencabutan', 'harga', 'eceran', 'tertinggi', 'het', 'minyak', 'goreng', 'kemasan', 'disambut', 'gembira', 'pengusaha', 'ritel', 'modern', 'pasokan', 'minyak', 'goreng', 'melimpah']","['pencabutan', 'harga', 'eceran', 'tertinggi', 'het', 'minyak', 'goreng', 'kemasan', 'disambut', 'gembira', 'pengusaha', 'ritel', 'modern', 'pasokan', 'minyak', 'goreng', 'melimpah']","['cabut', 'harga', 'ecer', 'tinggi', 'het', 'minyak', 'goreng', 'kemas', 'sambut', 'gembira', 'usaha', 'ritel', 'modern', 'pasok', 'minyak', 'goreng', 'limpah']"
16,OJK Rayu BUMN Agar Makin Banyak Nyebur ke Pasar Modal Indonesia,"Selasa, 22 Maret 2022 - 11:01 WIB",Bursa Finansial,berdasarkan catatan otoritas jasa keuangan ojk hingga saat ini jumlah perusahaan badan usaha milik negara bumn yang telah melakukan penawaran umum pasar modal baru mencapai perusahaan,"['berdasarkan', 'catatan', 'otoritas', 'jasa', 'keuangan', 'ojk', 'hingga', 'saat', 'ini', 'jumlah', 'perusahaan', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'yang', 'telah', 'melakukan', 'penawaran', 'umum', 'pasar', 'modal', 'baru', 'mencapai', 'perusahaan']",<FreqDist with 25 samples and 26 outcomes>,"['berdasarkan', 'catatan', 'otoritas', 'jasa', 'keuangan', 'ojk', 'perusahaan', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'penawaran', 'pasar', 'modal', 'mencapai', 'perusahaan']","['berdasarkan', 'catatan', 'otoritas', 'jasa', 'keuangan', 'ojk', 'perusahaan', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'penawaran', 'pasar', 'modal', 'mencapai', 'perusahaan']","['dasar', 'catat', 'otoritas', 'jasa', 'uang', 'ojk', 'usaha', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'tawar', 'pasar', 'modal', 'capai', 'usaha']"
17,"Rachmat Gobel: Tak Ada Mafia Minyak Goreng, Hanya Pengusaha Cari Untung","Selasa, 22 Maret 2022 - 10:31 WIB",Sektor Riil,wakil ketua dpr ri rachmat gobel menyatakan tak ada mafia minyak goreng melainkan hanya pengusaha yang mencari celah untuk mendapatkan keuntungan,"['wakil', 'ketua', 'dpr', 'ri', 'rachmat', 'gobel', 'menyatakan', 'tak', 'ada', 'mafia', 'minyak', 'goreng', 'melainkan', 'hanya', 'pengusaha', 'yang', 'mencari', 'celah', 'untuk', 'mendapatkan', 'keuntungan']",<FreqDist with 21 samples and 21 outcomes>,"['wakil', 'ketua', 'dpr', 'ri', 'rachmat', 'gobel', 'mafia', 'minyak', 'goreng', 'pengusaha', 'mencari', 'celah', 'keuntungan']","['wakil', 'ketua', 'dpr', 'ri', 'rachmat', 'gobel', 'mafia', 'minyak', 'goreng', 'pengusaha', 'mencari', 'celah', 'keuntungan']","['wakil', 'ketua', 'dpr', 'ri', 'rachmat', 'gobel', 'mafia', 'minyak', 'goreng', 'usaha', 'cari', 'celah', 'untung']"
18,GoTo Perpanjang Masa Bookbuilding IPO hingga 24 Maret 2022,"Selasa, 22 Maret 2022 - 10:12 WIB",Bursa Finansial,pt goto gojek tokopedia tbk atau goto memperpanjang masa penawaran awal perdana saham bookbuilding period selama tiga hari,"['pt', 'goto', 'gojek', 'tokopedia', 'tbk', 'atau', 'goto', 'memperpanjang', 'masa', 'penawaran', 'awal', 'perdana', 'saham', 'bookbuilding', 'period', 'selama', 'tiga', 'hari']",<FreqDist with 17 samples and 18 outcomes>,"['pt', 'goto', 'gojek', 'tokopedia', 'tbk', 'goto', 'memperpanjang', 'penawaran', 'perdana', 'saham', 'bookbuilding', 'period']","['pt', 'goto', 'gojek', 'tokopedia', 'tbk', 'goto', 'memperpanjang', 'penawaran', 'perdana', 'saham', 'bookbuilding', 'period']","['pt', 'goto', 'gojek', 'tokopedia', 'tbk', 'goto', 'panjang', 'tawar', 'perdana', 'saham', 'bookbuilding', 'period']"
19,"Tampil Perkasa pada Awal Sesi, IHSG Hari Ini Bertengger di Level 6.974","Selasa, 22 Maret 2022 - 09:51 WIB",Kurs & Saham,ihsg hari ini dibuka menguat di pada perdagangan selasa pagi ihsg hari ini dibuka menguat di pada perdagangan selasa pagi,"['ihsg', 'hari', 'ini', 'dibuka', 'menguat', 'di', 'pada', 'perdagangan', 'selasa', 'pagi', 'ihsg', 'hari', 'ini', 'dibuka', 'menguat', 'di', 'pada', 'perdagangan', 'selasa', 'pagi']",<FreqDist with 10 samples and 20 outcomes>,"['ihsg', 'dibuka', 'menguat', 'perdagangan', 'selasa', 'pagi', 'ihsg', 'dibuka', 'menguat', 'perdagangan', 'selasa', 'pagi']","['ihsg', 'dibuka', 'menguat', 'perdagangan', 'selasa', 'pagi', 'ihsg', 'dibuka', 'menguat', 'perdagangan', 'selasa', 'pagi']","['ihsg', 'buka', 'kuat', 'dagang', 'selasa', 'pagi', 'ihsg', 'buka', 'kuat', 'dagang', 'selasa', 'pagi']"
